startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_linkedin_url,startup_facebook_url,startup_instagram_url,startup_phone,startup_email,startup_phrasechoc
Indy devient gratuit pour les freelances,35 millions d'euros,19/10/2022,https://www.jaimelesstartups.fr/news/indy-devient-gratuit-pour-les-freelances/,Levée de fonds : 35 millions d'euros,Fondateurs : Côme Fouques,Nombre d'employés : 160,https://www.indy.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/indyfr/,https://www.facebook.com/indyfr,https://www.instagram.com/indy.team/?hl=fr,,,LA COMPTABILITÉ DES INDÉPENDANTS DEVIENT GRATUITE AVEC INDY
Satelia annonce une levée de fonds de 10 M€,10 000 000,27/10/2022,https://www.jaimelesstartups.fr/news/satelia-annonce-une-levee-de-fonds-de-10-me/,Levée de fonds : 10 000 000,Fondateurs : Nicolas Pages,Nombre d'employés : 87,https://satelia.eu/?utm_source=JaimeLesStartups,https://fr.linkedin.com/company/satelia,,,,,"SATELIA, LA PLATEFORME DE TÉLÉSUIVI MÉDICAL, LÈVE 10 MILLIONS D'EUROS AUPRÈS D'IMPACT PARTNERS"
Ambrosia lance la Tirelire Crypto,confidentiel,03/11/2022,https://www.jaimelesstartups.fr/news/ambrosia-lance-la-tirelire-crypto/,Levée de fonds : confidentiel,"Fondateurs : Victor Demonchaux, Kévin Poujol, Rémi Telenczak",Nombre d'employés : 8,https://ambrosia-finance.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/ambrosia-finance/,https://www.facebook.com/ambrosia.finance,https://www.instagram.com/ambrosia_finance/,,,AMBROSIA EST LIVE
Jump accepte le statut d’entrepreneur-salarié,4 000 000€,26/10/2022,https://www.jaimelesstartups.fr/news/jump-accepte-le-statut-dentrepreneur-salarie/,Levée de fonds : 4 000 000€,Fondateurs : Nicolas Fayon,Nombre d'employés : 42,https://www.join-jump.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/join-jump/,https://www.facebook.com/JoinJumpFrance/,,,,JUMP OUVRE LE STATUT D’ENTREPRENEUR-SALARIÉ AUX CHAUFFEURS VTC
Shippr annonce une levée de fonds de 10 millions €,10 millions €,02/11/2022,https://www.jaimelesstartups.fr/news/shippr-annonce-une-levee-de-fonds-de-10-millions-e/,Levée de fonds : 10 millions €,"Fondateurs : Romain Syed (CEO), Alexina Smet, Kevin Delval, Quentin Goossens et Harold Waterkeyn",,https://shippr.io/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/shippr/,,,,,[SÉRIE A] SHIPPR LÈVE 10 MILLIONS D’EUROS POUR DEVENIR LEADER DE LA LIVRAISON JOUR-MÊME
Lessortech,350 000 €,25/10/2022,https://www.jaimelesstartups.fr/lessortech-outils-et-services-destines-aux-marques-de-la-mode/,Levée de fonds : 350 000 €,"Fondateurs : Marialicia Le Cossec, Damien Le Cossec",Nombre d'employés : 4,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Lessortech,http://linkedin.lessortech.com/,http://fb.yourbond.shop/,https://insta.yourbond.shop/,,,LA STARTUP LESSORTECH PROPOSE DES OUTILS ET SERVICES DESTINÉS AUX MARQUES DE LA MODE.
La startup allemande Holidu annonce une levée de fonds de 100 millions d’euros en série E,100 000 000 €,20/10/2022,https://www.jaimelesstartups.fr/news/la-startup-allemande-holidu-annonce-une-levee-de-fonds-de-100-millions-deuros-en-serie-e/,Levée de fonds : 100 000 000 €,"Fondateurs : Johannes Siebers, Michael Siebers",Nombre d'employés : 500,https://www.holidu.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/holidu,https://www.facebook.com/holidu,https://www.instagram.com/lifeatholidu,,,HOLIDU LÈVE 100 MILLIONS D'EUROS DANS UN TOUR DE FINANCEMENT EN SÉRIE E
"RAMIFY annonce une levée de fonds de 3,5 M€","3,5 millions d'euros",15/11/2022,https://www.jaimelesstartups.fr/news/ramify-annonce-une-levee-de-fonds-de-35-me/,"Levée de fonds : 3,5 millions d'euros",Fondateurs : Samy Ouardini et Olivier Herbout,Nombre d'employés : 15,https://ramify.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/ramify-sas/,,https://www.instagram.com/ramify_am/,,,"RAMIFY LÈVE 3,5M€ POUR S'IMPOSER SUR LE MARCHÉ DES BANQUES PRIVÉES EN LIGNE"
Alvo annonce une levée de fonds d’un million d’euros,1 million d'euros,03/11/2022,https://www.jaimelesstartups.fr/news/alvo-annonce-une-levee-de-fonds-dun-million-deuros/,Levée de fonds : 1 million d'euros,"Fondateurs : Matthieu Stefani, Thomas Colin et Germain Michou-Tonning",,https://www.alvo.market/?utm_source=JaimeLesStartups,,,,,,"ALVO, LA MARKETPLACE QUI ACCÉLÈRE LA TRANSMISSION D’ENTREPRISE, S’OUVRE SUR LE MARCHÉ FRANÇAIS ET LÈVE 1M€ POUR SOUTENIR SES AMBITIONS DE CROISSANCE."
Sarbacane annonce une levée de 110 Millions €,110M€,10/11/2022,https://www.jaimelesstartups.fr/news/sarbacane-annonce-une-levee-de-110-millions-e/,Levée de fonds : 110M€,Fondateurs : Mathieu Tarnus,Nombre d'employés : 170,https://www.groupe-positive.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/groupe-positive/,,,,,GROUPE SARBACANE LÈVE 110M€ ET OPÈRE UNE NOUVELLE OPÉRATION DE CROISSANCE EXTERNE
Indy et Malt facilitent la vie des indépendants,46 millions d'euros,04/11/2022,https://www.jaimelesstartups.fr/news/indy-et-malt-facilitent-la-vie-des-independants/,Levée de fonds : 46 millions d'euros,Fondateurs : Côme Fouques,Nombre d'employés : 160,https://www.indy.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/indyfr/,https://www.facebook.com/indyfr,https://www.instagram.com/indy.team/,,,INDY ET MALT S’ASSOCIENT POUR FACILITER LA VIE DES INDÉPENDANTS
"Lys Therapeutics annonce une levée de fonds d’amorçage de 5,5 millions d’euros","5,4",15/11/2022,https://www.jaimelesstartups.fr/news/lys-therapeutics-annonce-une-levee-de-fonds-damorcage-de-55-millions-deuros/,"Levée de fonds : 5,4",Fondateurs : Manuel Blanc,,https://www.lystherapeutics.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/lys-therapeutics/,,,,,"LYS THERAPEUTICS : LEVÉE DE FONDS D'AMORÇAGE DE 5,5 M€ POUR LES MALADIES NEUROLOGIQUES"
CYBLEX TECHNOLOGIES,3000000,14/11/2022,https://www.jaimelesstartups.fr/cyblex-technologies-startup-cybersecurite-protection-contre-les-ransomware/,Levée de fonds : 3000000,Fondateurs : Sébastien SIVIGNON,Nombre d'employés : 14,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=CYBLEX%20TECHNOLOGIES,https://www.linkedin.com/showcase/custocy/,,,,,LA STARTUP CYBLEX TECHNOLOGIES A CRÉÉ UNE SOLUTION DE DÉTECTION DE PIRATAGE INFORMATIQUE POUR PRÉVENIR LES RANSOMWARE.
Snowpack,2 M€,16/11/2022,https://www.jaimelesstartups.fr/snowpack-startup-cybersecurite-architecture-vpn-pour-securiser-les-connexions/,Levée de fonds : 2 M€,"Fondateurs : Frédéric Laurent, Baptiste Polvé, Sébastien Groyer",Nombre d'employés : 10,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Snowpack,https://www.linkedin.com/company/snowpack,,,,,LA STARTUP SNOWPACK A CRÉÉ UN VPN ULTRA SÉCURISÉ POUR PROTÉGER VOS SESSIONS SUR INTERNET.
Madkudu annonce une levée de fonds de 18 M$,18 Millions de $,16/11/2022,https://www.jaimelesstartups.fr/news/madkudu-annonce-une-levee-de-dollars-fonds-de-18-millions-de/,Levée de fonds : 18 Millions de $,Fondateurs : Sam Levan et Francis Brero,Nombre d'employés : 35,https://www.madkudu.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/madkudu/,https://www.facebook.com/getMadkudu/,,,,"POUR ACCÉLÉRER SA PLATEFORME DE ""PRODUCT-LED GROWTH"" !"
"Pelico annonce une levée de fonds de 18,5 M€","18,5 M€",16/11/2022,https://www.jaimelesstartups.fr/news/pelico-annonce-une-levee-de-fonds-de-185-me/,"Levée de fonds : 18,5 M€","Fondateurs : Tarik Benabdallah, Mamoun Alaoui, Jonathan Hickson",,https://www.pelico.ai/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/pelico-io,,,,,"PELICO LÈVE 18,5 MILLIONS D'EUROS POUR AIDER LES INDUSTRIELS À GAGNER EN COMPÉTITIVITÉ DANS UN CONTEXTE DE PLUS EN PLUS COMPLEXE ET VOLATILE."
AwesomePetCo annonce une levée de fonds de 500K€,500000,15/11/2022,https://www.jaimelesstartups.fr/news/awesomepetco-annonce-une-levee-de-fonds-de-500ke/,Levée de fonds : 500000,,,https://woufbox.com/?utm_source=JaimeLesStartups,,,,,,LABELBOX CHANGE DE NOM POUR DEVENIR AWESOMEPETCO ET LÈVE 500 000 €
energe,10 000,23/11/2022,https://www.jaimelesstartups.fr/energe-chargeur-solaire-pour-les-aventuriers/,Levée de fonds : 10 000,Fondateurs : Nicolas Antoine & Thibaud Meynieux,Nombre d'employés : 3,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=energe,https://www.linkedin.com/company/energefr/,https://www.facebook.com/energefb/,https://www.instagram.com/energe.fr/,,,LA STARTUP ENERGE A CONÇU UN CHARGEUR SOLAIRE QUI SE FIXE SUR LE SAC À DOS !
"hello RSE annonce une levée de fonds d’1,3 Millions d’euros",1 300 000 €,01/12/2022,https://www.jaimelesstartups.fr/news/hello-rse-annonce-une-levee-de-fonds-1-3-millions-deuros/,Levée de fonds : 1 300 000 €,Fondateurs : Olivier Perron,Nombre d'employés : 20,https://www.hellorse.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/hellorse/,https://www.facebook.com/hellorse,,,,"HELLO RSE LÈVE 1,3 M€ AUPRÈS DE LA BANQUE DES TERRITOIRES ET DE BADGE POUR ACCÉLÉRER LA TRANSITION SOCIALE ET ÉCOLOGIQUE DES ACHATS DES COLLECTIVITÉS TERRITORIALES ET DES ÉTABLISSEMENTS SCOLAIRES"
Stratumn,8 000 000,18/11/2022,https://www.jaimelesstartups.fr/stratumn-saas-optimisation-processus-financiers/,Levée de fonds : 8 000 000,"Fondateurs : Richard Caetano, Stephan Florquin, François Dorléans et Sébastien Couture",Nombre d'employés : 30,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Stratumn,https://www.linkedin.com/company/stratumn/,,,,,LA STARTUP STRATUMN A CRÉÉ UN SAAS POUR AIDER LES DIRECTIONS FINANCIÈRES À OPTIMISER LEURS PROCESSUS FINANCIERS GRÂCE À LA BLOCKCHAIN
Cantoo annonce une levée de fonds d’1M€ auprès du fonds Investir&+,1 million d'euros,30/11/2022,https://www.jaimelesstartups.fr/news/cantoo-annonce-une-levee-de-fonds-d1me-aupres-du-fonds-investir/,Levée de fonds : 1 million d'euros,"Fondateurs : Minashe Selvam, François Billioud",,https://www.cantoo.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/cantooscribe/,https://www.facebook.com/cantooscribe/,,,,"CANTOO START-UP SOCIALE ET SOLIDAIRE PRÉSENTE SA SOLUTION CANTOO SCRIBE, UN ÉCOSYSTÈME INNOVANT REGROUPANT L’ESSENTIEL DES OUTILS NUMÉRIQUES POUR L’INCLUSION SCOLAIRE."
OMEDOM,512000,23/11/2022,https://www.jaimelesstartups.fr/omedom-appli-pour-centraliser-et-piloter-son-patrimoine-immobilier/,Levée de fonds : 512000,Fondateurs : Coline Sinquin,Nombre d'employés : 7,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=OMEDOM,https://www.linkedin.com/company/72733607/admin/,https://www.facebook.com/omedomapp,https://www.instagram.com/omedom_app/,,,LA STARTUP OMEDOM A DÉVELOPPÉ UNE APPLI POUR CENTRALISER ET PILOTER SON PATRIMOINE IMMOBILIER.
OnlyOne annonce une levée de fonds de 35 millions d’euros,35 000 000,21/11/2022,https://www.jaimelesstartups.fr/news/onlyone-annonce-une-levee-de-fonds-de-35-millions-deuros/,Levée de fonds : 35 000 000,"Fondateurs : Kamel Naït-Outaleb, Matthias Rouberol",,https://onlyonecard.eu/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/onlyonecard/,https://www.facebook.com/OnlyOne.Card.FR,https://www.instagram.com/onlyone.card/,,,"ONLYONE, LA PREMIÈRE NÉOBANQUE VERTE FRANÇAISE, OBTIENT UN ENGAGEMENT D'INVESTISSEMENT DE 35 MILLIONS D'EUROS DE GLOBAL EMERGING MARKETS (GEM)."
"Eppur annonce une levée de fonds d’1,2 millions d’euros","1,2 millions €",29/11/2022,https://www.jaimelesstartups.fr/news/eppur-annonce-une-levee-de-fonds-d-12-millions-euros/,"Levée de fonds : 1,2 millions €",Fondateurs : Colin Gallois et Lancelot Durand,,https://www.eppur.eu/?utm_source=JaimeLesStartups,,,,,,"EPPUR LÈVE 1,2 MILLIONS D’EUROS"
Snowpack annonce une levée de fonds de 2M€,2 Millions €,18/11/2022,https://www.jaimelesstartups.fr/news/snowpack-annonce-une-levee-de-fonds-de-2me/,Levée de fonds : 2 Millions €,"Fondateurs : Frédéric Laurent, Baptiste Polvé, Sébastien Groyer",Nombre d'employés : 10,https://snowpack.eu/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/snowpack/,,,,,ON VOUS PROPOSE UNE SOLUTION UNIQUE D’INVISIBILITÉ (ANONYMAT ET SÉCURITÉ) SUR INTERNET.
Mailinblack simule les attaques par clefs USB & QRcode,50 000 000€,01/12/2022,https://www.jaimelesstartups.fr/news/mailinblack-simule-les-attaques-par-clefs-usb-qrcode/,Levée de fonds : 50 000 000€,,,https://www.mailinblack.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/mailinblack/,https://www.facebook.com/mailinblack/,,,,MAILINBLACK LANCE SES NOUVELLES SIMULATIONS D’ATTAQUES PAR CLÉ USB ET QR CODE
Karmen annonce une levée de fonds de 50 millions €,50 millions €,21/11/2022,https://www.jaimelesstartups.fr/news/karmen-annonce-une-levee-de-fonds-de-50-millions-e/,Levée de fonds : 50 millions €,"Fondateurs : Gabriel Thierry, Baptiste Wiel et Sébastien Lubineau",,https://www.karmen.io/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/karmen-io/?originalSubdomain=fr,,,,,KARMEN DÉBLOQUE 50 MILLIONS D’EUROS AUPRÈS DE FASANARA CAPITAL POUR FINANCER LES TPE/PMES DIGITALES EN FRANCE
"Zelok augmente son capital à hauteur 1,7 millions d’euros",1 684 000 €,06/12/2022,https://www.jaimelesstartups.fr/news/zelok-augmente-son-capital-a-hauteur-17-millions-deuros/,Levée de fonds : 1 684 000 €,Fondateurs : Fabrice Houlé,Nombre d'employés : 26,https://www.zelok.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/zelok/,https://www.facebook.com/zelok.fr/,,,,ZELOK ANNONCE UNE AUGMENTATION DE CAPITAL DE 1 684 000 EUROS POUR ACCÉLÉRER SON DÉVELOPPEMENT
Wasabi Technologies annonce une série D (aux US) de 15 millions de dollars,15 millions de $,08/12/2022,https://www.jaimelesstartups.fr/news/wasabi-technologies-annonce-une-serie-d-aux-us-de-15-millions-de-dollars/,Levée de fonds : 15 millions de $,Fondateurs : David Friend,Nombre d'employés : 250,https://wasabi.com/?utm_source=JaimeLesStartups,https://fr.linkedin.com/company/wasabitechnologies,https://www.facebook.com/WasabiCloud/,https://www.instagram.com/wasabi_cloud/,,,WASABI TECHNOLOGIES COMPLÈTE SON TOUR DE TABLE EN SÉRIE D AVEC UN NOUVEAU FINANCEMENT DE 15 MILLIONS DE DOLLARS
Evaneos annonce une levée de 20 millions d’euros,20 Millions €,07/12/2022,https://www.jaimelesstartups.fr/news/evaneos-annonce-une-levee-de-20-millions-deuros/,Levée de fonds : 20 Millions €,Fondateurs : Eric La Bonnardière et Yvan Wibaux,Nombre d'employés : 197,https://www.evaneos.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/evaneos/,https://www.facebook.com/EvaneosCOM,https://www.instagram.com/evaneos/,,,"EVANEOS, L'AGENCE DE VOYAGE 'RESPONSABLE' ANNONCE SA 5ÈME LEVÉE DE FONDS"
IRIS lève 150 M€ pour son nouveau fonds d’amorçage,150 Millions €,08/12/2022,https://www.jaimelesstartups.fr/news/iris-leve-150-me-pour-son-nouveau-fonds-damorcage/,Levée de fonds : 150 Millions €,,,https://www.iris.vc/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/iris-capital-management/?originalSubdomain=fr,,,,,IRIS LÈVE UN NOUVEAU FONDS EARLY STAGE DE 150 M€ ET NOMME DENIS DUVERNE SENIOR ADVISOR
MyTroc annonce une levée de fonds d’1 million d’euros,1M,09/12/2022,https://www.jaimelesstartups.fr/news/mytroc-annonce-une-levee-de-fonds-dun-million-deuros/,Levée de fonds : 1M,"Fondateurs : Floriane Addad, Judicaël Decriem, Tiphaine Bezard",Nombre d'employés : 13,https://https//mytroc.pro/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/mytroc/,,https://www.instagram.com/mytroc.fr/?hl=fr,,,DANS LA GREENTECH LES FEMMES LÈVENT AUSSI DES FONDS !
Supli est racheté par Orderlion,$4 million,08/12/2022,https://www.jaimelesstartups.fr/news/supli-est-rachete-par-orderlion/,Levée de fonds : $4 million,Fondateurs : Stefan Strohmer et Patrick Schubert,Nombre d'employés : +30,https://orderlion.com/fr?utm_source=JaimeLesStartups,https://www.linkedin.com/company/orderlion?originalSubdomain=sg,https://www.facebook.com/orderlion/,https://www.instagram.com/orderlion_bestellsystem/,,,ORDERLION ACQUIERT LA STARTUP TRICOLORE SUPLI POUR S’IMPLANTER SUR LE MARCHÉ FRANÇAIS
Pièces de créateurs,100 000,05/12/2022,https://www.jaimelesstartups.fr/pieces-de-createurs-marketplace-de-createur-made-in-france/,Levée de fonds : 100 000,Fondateurs : ACQUAVIVA MÉLODY,,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Pi%C3%A8ces%20de%20cr%C3%A9ateurs,,,,,,LA STARTUP PIÈCES DE CRÉATEURS EST UNE MARKETPLACE POUR LES CRÉATEURS DE MODE FRANÇAIS !
Sêmeia annonce une levée de fonds série B de 8 millions d’euros,8 millions,09/12/2022,https://www.jaimelesstartups.fr/news/semeia-annonce-une-levee-de-fonds-serie-b-de-8-millions-deuros/,Levée de fonds : 8 millions,"Fondateurs : Mathieu Godart, Pierre Hornus et Daniel Szeftel",,https://?utm_source=JaimeLesStartups,,,,,,LA START-UP TOULOUSAINE SÊMEIA RENFORCE SA POSITION D’ACTEUR DE RÉFÉRENCE DE LA TÉLÉSURVEILLANCE MÉDICALE AVEC UNE DEUXIÈME LEVÉE DE FONDS DE 8 MILLIONS D’EUROS ET L’ACQUISITION D’OPTIM’CARE
"Ligerio lève 3,9 millions d’euros","3,9 millions d'euros",05/12/2022,https://www.jaimelesstartups.fr/news/ligerio-leve-39-millions-deuros/,"Levée de fonds : 3,9 millions d'euros",Fondateurs : Jean de Varine Bohan,,https://www.ligerio.fr/?utm_source=JaimeLesStartups,,,,,,"LIGERIO ANNONCE SA PREMIÈRE LEVÉE DE FONDS DE 3,9 MILLIONS D'EUROS"
Legapass annonce une levée de fonds d’un Millions d’euros,1 000 000,02/12/2022,https://www.jaimelesstartups.fr/news/legapass-annonce-une-levee-de-fonds-dun-millions-deuros/,Levée de fonds : 1 000 000,"Fondateurs : Jean-Charles Chemin, Eric Maïda et Adelina Prokhorova",Nombre d'employés : 12,https://legapass.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/legapass/?originalSubdomain=fr,https://www.facebook.com/Legapass/,https://www.instagram.com/legapass/?hl=fr,,,CP - LEGAPASS LÈVE 1M€ 💰 POUR SÉCURISER L’HÉRITAGE DE VOS MOTS DE PASSE ET CRYPTOMONNAIES !
Archie annonce une levée d’un million d’euros,+ 1 000 000,22/12/2022,https://www.jaimelesstartups.fr/news/archie-annonce-une-levee-dun-million-deuros/,Levée de fonds : + 1 000 000,Fondateurs : Marina Lemaire et Devan Ahmed,Nombre d'employés : 9,https://www.myarchie.co/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/archieofficiel/,https://www.facebook.com/archiv.officiel,https://www.instagram.com/archie_cie/,,,"ARCHIE, LE VINAIGRE DE CIDRE, BOUCLE SA PREMIÈRE LEVÉE DE FONDS"
Husprey annonce une levée de fonds de 3 millions d’euros,3 millions d’euros,13/12/2022,https://www.jaimelesstartups.fr/news/husprey-annonce-une-levee-de-fonds-de-3-millions-deuros/,Levée de fonds : 3 millions d’euros,Fondateurs : Thibaut Collette,Nombre d'employés : 8,https://https//www.husprey.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/husprey/,,,,,LA START-UP HUSPREY LÈVE 3 MILLIONS D’EUROS POUR REMPLACER LES DASHBOARDS PAR DES NOTEBOOKS AU SERVICE DU BUSINESS ET DE LA DATA
DATA RECRUTEMENT lance les appels à candidature à son TECH500,500000,21/12/2022,https://www.jaimelesstartups.fr/news/data-recrutement-lance-les-appels-a-candidature-a-son-tech500/,Levée de fonds : 500000,Fondateurs : BENARD,Nombre d'employés : 50,https://data-recrutement.typeform.com/to/agw6li5k?typeform-source=datarecrutement.fr?utm_source=JaimeLesStartups,https://www.linkedin.com/company/10312485/admin/,,,,,TECH500 2023 : L'APPEL A CANDIDATURE EST OUVERT AVANT LE 31/12
elqano annonce une levée de fonds de 900 000€,900 000 €,15/12/2022,https://www.jaimelesstartups.fr/news/elqano-annonce-une-levee-de-fonds-de-900-000e/,Levée de fonds : 900 000 €,Fondateurs : Yann Echeverria,,https://www.elqano.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/elqano-when-knowledge-finds-people/,,,,,ELQANO LÈVE NEUF-CENT MILLE EUROS POUR OPTIMISER LE PARTAGE DE CONNAISSANCE EN ENTREPRISE GRÂCE À UNE INTELLIGENCE ARTIFICIELLE
Diversified annonce une levée pré-seed de 500 000€,500 000 €,14/12/2022,https://www.jaimelesstartups.fr/news/diversified-annonce-une-levee-pre-seed-de-500-000e/,Levée de fonds : 500 000 €,Fondateurs : Vincent Bourdel et Tugdual de Kerviler,,https://getdiversified.app/launch/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/diversifiedfinance/,,,,,LA FINTECH DIVERSIFIED BOUCLE SON PRE-SEED D’UN DEMI-MILLION D’EUROS POUR DÉMOCRATISER L’INVESTISSEMENT DANS LE LUXE
"The Treep annonce une levée de fonds de 1,6 million d’euros","1,600,000",05/01/2023,https://www.jaimelesstartups.fr/news/the-treep-annonce-une-levee-de-fonds-de-16-million-deuros/,"Levée de fonds : 1,600,000",Fondateurs : Laurent La Rocca et Pierre-François Verbecque,Nombre d'employés : 20,https://www.thetreep.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/the-treep/,https://www.facebook.com/TheTreep.green/,,,,"THE TREEP, ÉDITEUR DE LOGICIEL RESPONSABLE CRÉÉ EN 2016 PAR LAURENT LA ROCCA ET PIERRE-FRANÇOIS VERBECQUE, LÈVE 1.6 MILLION D’EUROS AUPRÈS D’IMA PARTICIPATIONS (FONDS D'INVESTISSEMENT DU GROUPE IMA) ET DE LA BANQUE DES TERRITOIRES, POUR CONQUÉRIR LE SECTEUR DU VOYAGE D’AFFAIRES ÉCORESPONSABLE."
Speedinvest annonce un nouveau fonds doté de 500 millions d’euros,500 000 000,14/12/2022,https://www.jaimelesstartups.fr/news/speedinvest-annonce-un-nouveau-fonds-dote-de-500-millions-deuros/,Levée de fonds : 500 000 000,Fondateurs : Oliver Holle,,https://www.speedinvest.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/speedinvest,https://www.facebook.com/speedinvestcom/,,,,SPEEDINVEST LÈVE 500 MILLIONS D’EUROS POUR INVESTIR DANS LA TECH EUROPÉENNE
e-pocrate,300.000€,03/01/2023,https://www.jaimelesstartups.fr/e-pocrate-plateforme-de-teleconsultation-de-medecine-en-afrique/,Levée de fonds : 300.000€,Fondateurs : MBOMA Françoise,Nombre d'employés : 4,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=e-pocrate,https://www.linkedin.com/in/epocrate-fdm-connect-6351b7241/,https://www.facebook.com/people/E-pocratecom/100037531940614/,https://www.instagram.com/e_pocrate_com/,,,LA STARTUP E-POCRATE EST UNE PLATEFORME DE TÉLÉCONSULTATION DE MÉDECINE POUR LE MARCHÉ AFRICAIN !
La healthtech Amolyt Pharma annonce une levée de 130 millions d’euros en série C,130 millions €,09/01/2023,https://www.jaimelesstartups.fr/news/la-healthtech-amolyt-pharma-annonce-une-levee-de-130-millions-deuros-en-serie-c/,Levée de fonds : 130 millions €,Fondateurs : Thierry Abribat,Nombre d'employés : 39,https://amolytpharma.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/amolytpharma,,,,,AMOLYT PHARMA ANNONCE UN FINANCEMENT DE SÉRIE C DE 130 MILLIONS D’EUROS MENÉ PAR SOFINNOVA PARTNERS ET CODIRIGÉ PAR INTERMEDIATE CAPITAL GROUP
RÉNOLIB annonce une levée de fonds de 10 millions €,10 000 000,25/01/2023,https://www.jaimelesstartups.fr/news/renolib-annonce-une-levee-de-fonds-de-10-millions-e/,Levée de fonds : 10 000 000,Fondateurs : Thomas Ransay et Olivier Fontaine,,https://www.renolib.fr/?utm_source=JaimeLesStartups,,,,,,RÉNOLIB LÈVE 10M D’EUROS POUR FACILITER LA GESTION ADMINISTRATIVE ET FINANCIÈRE DES DOSSIERS RÉNOVATION.
Betterway annonce une levée de 4 millions d’euros,4 000 000 €,19/01/2023,https://www.jaimelesstartups.fr/news/betterway-annonce-une-levee-de-4-millions-deuros/,Levée de fonds : 4 000 000 €,,,https://betterway.fr/?utm_source=JaimeLesStartups,,,,,,BETTERWAY RÉALISE UNE LEVÉE DE FONDS DE 4 MILLIONS D’EUROS AUPRÈS D’EDENRED POUR ACCÉLÉRER LE DÉVELOPPEMENT DE LA MOBILITÉ DURABLE EN ENTREPRISE
"Bary annonce une levée de fonds d’1,5 millions d’euros",1 500 000 €,10/01/2023,https://www.jaimelesstartups.fr/news/bary-annonce-une-levee-de-fonds-d15-millions-deuros/,Levée de fonds : 1 500 000 €,,Nombre d'employés : 12,https://www.bary.app/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/baryapp/,https://www.facebook.com/BaryApp,,,,"LA START-UP BARY LÈVE 1,5 MILLION D’EUROS AUPRÈS DE H2P, PRINCIPAL INVESTISSEUR DU TRANSPORT ROUTIER"
Joltee,500 000,12/01/2023,https://www.jaimelesstartups.fr/joltee-assurance-pour-vehicules-electriques/,Levée de fonds : 500 000,"Fondateurs : SEJOUR Florent, MICONNET Thomas, MAVOUNGOU Cédric, SOUNDAR Adavane",Nombre d'employés : 13,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Joltee,https://www.linkedin.com/company/joltee/,https://www.facebook.com/JolteeAssurance/,https://www.instagram.com/joltee_assurance/,,,LA STARTUP JOLTEE A CRÉÉ UNE ASSURANCE SPÉCIALISÉ DANS LES VÉHICULES ÉLECTRIQUES.
Tenacy se deploie à l’international,2 500 000,14/12/2022,https://www.jaimelesstartups.fr/news/tenacy-se-deploie-a-linternational/,Levée de fonds : 2 500 000,Fondateurs : Cyril Guillet et Julien Coulet,Nombre d'employés : 30,https://www.tenacy.io/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/augmentedciso/,,,,,TENACY ATTEINT 75 GRANDS GROUPES ET ETI CLIENTS EN FRANCE ET VISE L’INTERNATIONAL
